sidewalkLength:10.0_dropDiameter:1.056
70
60
39
71
53
26
67
29
54
37
38
54
44
51
33
36
43
52
46
47
25
46
76
67
31
79
17
46
29
41
86
62
46
57
28
31
30
47
49
43
61
38
52
50
35
66
57
51
81
28
33
35
39
39
38
61
65
47
46
60
49
122
38
34
41
42
42
59
51
52
31
45
54
58
65
36
39
32
50
93
50
48
52
46
43
38
40
46
65
37
34
52
35
31
28
38
37
47
41
40
58
44
39
45
44
39
26
57
27
47
28
47
43
43
58
44
43
34
67
42
86
58
55
43
28
35
69
31
58
39
66
33
53
61
34
43
40
72
36
61
56
42
39
39
43
32
70
56
49
35
59
57
48
75
39
28
46
37
67
45
48
38
55
29
54
38
66
39
38
34
39
45
60
59
31
34
64
33
43
85
41
57
44
51
49
62
36
48
52
97
33
42
30
87
42
52
29
106
38
27
45
44
60
79
58
48
116
25
51
64
27
38
48
51
26
32
45
49
32
43
33
65
47
43
57
77
33
58
25
69
46
38
35
46
41
35
40
49
73
51
57
76
42
40
25
41
42
34
48
31
78
50
34
44
47
50
60
46
81
63
43
41
52
43
35
21
92
86
69
97
66
38
58
36
39
49
54
54
34
42
35
42
40
52
55
30
57
143
35
37
85
41
55
38
118
47
79
51
54
40
43
31
42
80
122
58
57
41
32
68
24
47
58
56
42
43
42
38
83
62
36
47
39
64
50
36
52
62
37
69
78
39
38
37
67
28
37
46
25
40
55
35
31
48
86
38
33
53
41
70
44
44
47
34
49
51
37
32
44
54
56
38
39
39
62
50
42
39
44
52
28
49
46
36
43
65
57
41
37
42
34
29
42
47
37
45
46
55
47
35
55
57
49
56
32
47
76
41
65
52
46
51
37
41
36
66
50
46
54
49
32
28
53
32
43
53
49
57
40
36
42
40
101
57
30
53
29
69
70
46
41
36
65
58
40
38
68
41
54
45
53
46
46
39
44
52
34
90
37
46
57
58
58
38
68
51
53
36
43
31
61
60
86
58
56
58
41
72
45
42
40
33
60
33
33
44
59
30
90
59
56
35
57
39
115
53
23
33
59
43
52
51
65
77
55
69
79
60
52
64
34
32
55
35
48
43
83
38
54
25
36
104
47
56
46
48
35
22
37
83
43
36
78
62
56
46
34
54
54
53
56
40
37
52
51
61
50
40
42
79
46
76
85
33
24
31
58
93
52
68
39
77
54
46
54
30
64
32
59
54
42
40
46
31
30
30
45
76
63
151
28
72
62
31
75
39
37
41
53
23
41
24
54
45
40
41
112
37
81
54
29
60
55
49
33
39
34
37
30
40
80
32
45
59
51
41
29
41
60
65
36
25
68
69
31
49
71
81
52
59
49
91
42
42
39
39
36
42
44
29
45
33
60
52
62
47
55
85
43
65
34
50
34
69
83
44
41
37
39
43
57
25
54
58
30
56
54
56
33
31
54
55
43
52
42
33
51
34
44
33
43
48
35
78
52
33
55
80
25
29
24
58
33
31
35
26
38
123
30
81
33
46
50
87
49
50
51
33
55
50
115
45
28
34
31
37
59
44
26
37
37
64
46
46
67
45
25
70
43
45
37
43
71
31
51
48
44
59
33
67
42
73
39
51
43
54
20
63
33
47
45
37
37
46
101
38
50
51
53
36
42
55
39
32
46
23
50
40
50
50
45
36
28
39
45
34
44
40
35
54
35
52
43
28
55
34
32
43
33
48
77
80
70
34
39
46
56
38
87
40
34
26
57
47
37
45
59
56
31
35
88
34
47
59
38
71
79
44
48
38
55
44
70
28
49
57
57
39
59
40
25
90
49
33
79
41
51
88
42
47
37
52
43
49
54
50
60
34
43
36
54
36
90
65
32
39
54
37
79
49
60
33
37
31
70
38
24
47
47
55
34
35
32
28
28
53
62
27
87
44
41
61
60
59
43
37
31
40
42
39
49
39
73
51
38
32
47
45
30
64
29
65
43
55
65
32
57
56
23
44
72
42
47
36
66
48
47
59
79
28
41
50
45
56
70
45
39
71
48
44
45
28
36
50
60
29
42
38
30
30
39
54
45
58
42
46
24
40
53
36
29
92
45
31
39
49
71
29
53
29
23
46
35
38
59
72
75
28
51
49
40
39
35
47
48
84
38
37
31
54
62
43
44
83
39
56
55
89
59
52
78
55
32
51
44
38
44
35
36
59
46
34
36
33
44
52
29
53
38
