sidewalkLength:10.0_dropDiameter:1.0
1.0
2.0
2.28
2.81
3.81
4.81
5.81
5.81
6.09
6.36
7.27
7.27
7.44
8.44
8.46
9.09
9.17
9.17
9.17
9.18
9.18
9.18
9.18
9.18
9.18
9.47
9.47
9.47
9.47
9.47
9.47
9.47
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
9.52
10.0
